source;gene
biomart_go;Cables2
biomart_go;Spast
biomart_go;Trnp1
biomart_go;Dmtf1
biomart_go;Nudc
biomart_go;Poc5
biomart_go;Klhdc8b
biomart_go;Ccng1
biomart_go;Septin9
biomart_go;Zwint
biomart_go;Siah2
biomart_go;Wtap
biomart_go;Rab11fip3
biomart_go;Cdc123
biomart_go;Ccnt2
biomart_go;Usp22
biomart_go;Foxo4
biomart_go;Trp73
biomart_go;Mcm3
biomart_go;Birc6
biomart_go;Arhgef2
biomart_go;Mplkip
biomart_go;Dusp1
biomart_go;Pttg1
biomart_go;Rala
biomart_go;Pin1
biomart_go;Cdkn1b
biomart_go;Dis3l2
biomart_go;Rbl2
biomart_go;Birc5
biomart_go;H2ax
biomart_go;Ppp1ca
biomart_go;Mapk7
biomart_go;Klhl13
biomart_go;Chfr
biomart_go;Septin1
biomart_go;Brinp2
biomart_go;Gas1
biomart_go;Mcm6
biomart_go;Taf1
biomart_go;Wasl
biomart_go;Ankle2
biomart_go;Ercc6l
biomart_go;Cts7
biomart_go;Cd2ap
biomart_go;Anapc16
biomart_go;Cdca5
biomart_go;Tacc1
biomart_go;E2f7
biomart_go;Arl2
biomart_go;Fam107a
biomart_go;Spc25
biomart_go;Timeless
biomart_go;Anxa11
biomart_go;Arl8b
biomart_go;Sgo2a
biomart_go;Wdr6
biomart_go;Kif11
biomart_go;Mapre1
biomart_go;Cdk20
biomart_go;Brca2
biomart_go;Cdc5l
biomart_go;Rack1
biomart_go;Gm12184
biomart_go;Becn1
biomart_go;Pkn2
biomart_go;Mad2l1
biomart_go;Fbxo5
biomart_go;Dyrk3
biomart_go;Chek2
biomart_go;Ttc28
biomart_go;Gadd45a
biomart_go;Thap1
biomart_go;Pds5b
biomart_go;Pak4
biomart_go;Stard13
biomart_go;Katnb1
biomart_go;Map10
biomart_go;Nasp
biomart_go;Lig4
biomart_go;Ect2
biomart_go;Psme3
biomart_go;Stag1
biomart_go;Gnai1
biomart_go;Camk1
biomart_go;E2f1
biomart_go;Fam32a
biomart_go;Cep63
biomart_go;Brca1
biomart_go;E2f2
biomart_go;Anapc13
biomart_go;Klhl9
biomart_go;Cdc25a
biomart_go;Haus2
biomart_go;Cdk11b
biomart_go;Ptp4a1
biomart_go;Cdkn2a
biomart_go;Cdkn2b
biomart_go;Cdk2
biomart_go;Ptp4a1
biomart_go;Csnk2a2
biomart_go;Fancd2
biomart_go;Mlf1
biomart_go;Cks1b
biomart_go;Sirt2
biomart_go;Wee1
biomart_go;Kif23
biomart_go;Tlk1
biomart_go;Kif2c
biomart_go;Ing1
biomart_go;Nup43
biomart_go;Lats1
biomart_go;Cenpv
biomart_go;Stradb
biomart_go;Katna1
biomart_go;Mcm5
biomart_go;Cenpc1
biomart_go;Mapk13
biomart_go;Zc3hc1
biomart_go;Ccndbp1
biomart_go;Spag5
biomart_go;Tmprss11a
biomart_go;Cdkn1a
biomart_go;Mark4
biomart_go;Cep131
biomart_go;Fanci
biomart_go;Pim1
biomart_go;Rnf8
biomart_go;Gm28043
biomart_go;Tipin
biomart_go;Ran
biomart_go;Pard3
biomart_go;Gnai3
biomart_go;Nek11
biomart_go;Kmt2e
biomart_go;Gm10131
biomart_go;Klhl18
biomart_go;Cdc20
biomart_go;Tnks
biomart_go;Rab11a
biomart_go;Nae1
biomart_go;Rassf4
biomart_go;Anln
biomart_go;Rint1
biomart_go;Ticrr
biomart_go;Jtb
biomart_go;Sik1
biomart_go;Nek2
biomart_go;Gpsm2
biomart_go;Cep250
biomart_go;Cdk5
biomart_go;E2f4
biomart_go;Rab11fip4
biomart_go;Kifc1
biomart_go;Anapc11
biomart_go;Ccnd3
biomart_go;Itgb3bp
biomart_go;Ncapd3
biomart_go;Mlh1
biomart_go;Ncapg
biomart_go;Ccdc124
biomart_go;Usp3
biomart_go;Haus8
biomart_go;Psrc1
biomart_go;Epb41l2
biomart_go;Babam1
biomart_go;Cib1
biomart_go;Pdcd6ip
biomart_go;Pard3b
biomart_go;Siah1a
biomart_go;Cenpx
biomart_go;Dync1li1
biomart_go;Rcc2
biomart_go;Zfp207
biomart_go;Prc1
biomart_go;Ccnb2
biomart_go;Crocc
biomart_go;Anapc4
biomart_go;Mical3
biomart_go;Map3k20
biomart_go;Mcmbp
biomart_go;Dctn1
biomart_go;Zfp830
biomart_go;Usp39
biomart_go;Aurkb
biomart_go;Fbxo31
biomart_go;Hepacam2
biomart_go;Banp
biomart_go;Brsk1
biomart_go;Septin11
biomart_go;Ccng2
biomart_go;Cdt1
biomart_go;Myog
biomart_go;Chmp1a
biomart_go;Kif18b
biomart_go;Specc1l
biomart_go;Ube2s
biomart_go;Cdca8
biomart_go;Ccpg1
biomart_go;Cntrob
biomart_go;Khdc3
biomart_go;Mapre3
biomart_go;Ccsap
biomart_go;Arpp19
biomart_go;Smarcb1
biomart_go;Clspn
biomart_go;Mapk6
biomart_go;Arl8a
biomart_go;Spout1
biomart_go;Pds5a
biomart_go;Trp53
biomart_go;Casp8ap2
biomart_go;Cdkn2d
biomart_go;Dsn1
biomart_go;Kctd11
biomart_go;Spc24
biomart_go;Rps3
biomart_go;Ppm1g
biomart_go;Cdc34
biomart_go;Septin2
biomart_go;Ppp1cc
biomart_go;Misp
biomart_go;Rbl1
biomart_go;Nuf2
biomart_go;Septin2
biomart_go;Babam2
biomart_go;Tlk2
biomart_go;Mitd1
biomart_go;Ppp1cb
biomart_go;Src
biomart_go;Blcap
biomart_go;Stk11
biomart_go;Ccne2
biomart_go;Plk5
