Schwann cells;Ng2+ MSCs;Osteoblasts;Chondrocytes;Fibroblast/Chondrocyte progenitors;Sinusoidal endothelial cells;Arterial endothelial cells;Adipo-CAR;Osteo-CAR;Smooth muscle cells;Myofibroblasts;Stromal fibroblasts;Arteriolar fibroblasts;Endosteal fibroblasts;Erythroblasts;Erythroid progenitors;Neutrophil progenitors;Monocyte progenitors;Granulocyte/Monocyte progenitors;Eosinophil/Basophil progenitors;Lymphoid-primed multipotent progenitors;Erythroid/Megakaryocyte progenitors;Megakaryocyte progenitors;large pre-B cells;pro-B cells;Monocytes;Neutrophils;T cells;NK cells;Dendritic cells;small pre-B cells;B cells
Enpp2;Ppic;Vkorc1;Col11a2;Sdc4;Itm2b;Slc6a6;Vcam1;B2m;Mylk;Pdlim4;Vim;Igfbp6;Nbl1;Tubb4b;Rpl14;Fcgr3;Ramp1;Ptma;Cd63;Nr4a1;Ctla2a;Bin2;Blnk;Serinc3;Ctsh;Ngp;Cd8b1;Ctsw;Tyrobp;Pkig;H2-Aa
Ermn;Nupr1;Fkbp11;Col27a1;Dcn;Malat1;Ifitm3;Kng2;Col8a1;Tsc22d1;Gm8730;Efemp1;Gas1;Fbn1;Rpl8;Ces2g;Ap3s1;Fcer1g;Calr;Apoe;Adgrl4;Cks2;F2r;Tcf3;Arl5c;Ms4a4c;Lyz2;Rps7;Gimap6;Dnajc7;Spib;Cd52
Sez6l2;Tmem176b;Col11a1;Matn3;Nupr1;Ifitm3;Calm1;Gdpd2;Tpm1;Myh11;Errfi1;Zbtb20;Serping1;Anxa2;Hmbs;Rpl17;Sdf2l1;Tyrobp;Ramp1;Cmtm7;Npm1;Cdk6;Tgfb1;Ptprcap;Pde2a;Npc2;Alox5ap;Lck;Klre1;Ctss;Rac2;Ltb
Cmtm5;Lifr;Ptgis;Ucma;Tob1;Plpp1;H2-D1;Fbln5;Cxcl14;Hes1;Rpl23a-ps3;Malat1;Laptm4a;Axl;Slbp;Nsun2;Etfb;Slpi;Set;Gng12;Sub1;Skil;Unc119;Gmfg;Lef1;Ctsc;Camp;Limd2;Coro1a;Lair1;Tmsb10;H2-DMb2
Gpm6b;Olfml3;Bglap2;Scrg1;Mgp;Ctsb;Klf2;Igfbp5;H2-K1;Gng11;Hspa8;Serpinh1;Anxa5;Vim;Ubac1;Rps27a;Spcs2;Ap3s1;Eif4a1;Ap3s1;Rps18;Tgfb1;Plek;Hmgn2;Ucp2;Prdx5;Tyrobp;Rpl23a-ps3;Ptprcap;Smim5;Tcf3;Klf2
Cryab;Sdc2;Snhg18;Mgp;Fibin;Gpihbp1;Cldn5;Plpp3;Apoe;Cald1;Rpl13;Junb;Cd81;Ahnak;Gypa;Rps5;Gpi1;Pgam1;Sdf2l1;Glipr1;Spint2;Phlda1;Adgrg1;Lrmp;Ptprcap;Cotl1;Cd177;Rps19;Cd2;Unc93b1;Myl4;Ptprcap
Mobp;Itgb5;Copz2;Chad;Chad;Hes1;Cav2;Kng1;Limch1;Gm13889;Rpl37;Cd9;Crip1;Tppp3;Rfc4;Rpl37a;Calr;Slc25a5;Glipr1;Lcp1;Srgn;Creg1;Cnbp;Pde2a;B2m;Fam49b;Rac2;Rpl18a;Lck;Tcf4;Btg1;Cd72
Pllp;Srpx2;Pth1r;1500015O10Rik;Col6a1;Eng;Sparcl1;Malat1;Pth1r;Gadd45g;Ifrd1;Ecm1;Mgp;Htra3;Ran;Sdsl;Lta4h;Tspo;Pabpc1;Tnfaip3;Rps6;Rpl21;Set;Pgls;Ly6e;Msrb1;Sh3bgrl3;Ms4a6b;Il2rb;Ccr9;Rhoh;Cd37
Ugt8a;Cst3;Col5a2;Tspan3;Klf4;Timp3;Sdpr;Gpx8;Cfh;Ehd2;Rpl9-ps6;Jund;Itm2b;Scara5;Blvrb;Ybx1;Sec61b;Napsa;Ppia;Sox4;Lcp1;Eif4a1;Npm1;Ppp1ca;Rasgrp2;Napsa;Trem3;Rpl13;Pfn1;Ly6e;Plekha2;Shisa5
Sccpdh;Cd302;Cthrc1;Chadl;Lgals3;Ecscr;Eng;Ibsp;Malat1;Flna;Chodl;Fos;Tuba1a;Serpinb6a;Gclm;Rpl4;Trem3;H2afy;Npm1;Tax1bp1;Samsn1;Rps6;Meis1;Anp32e;Tcf3;Lyz2;Msrb1;Cd3e;Evl;Serp1;Dusp2;Ly6e
